id,pkd,wskaznik,year_0,year_1,year_2,year_3,year_4
1,B,10.02,18.43,20.47,25.31,22.02,13.58
2,C,21.41,491.6,493.51,512.79,461.58,351.23
3,D,83.41,112.93,131.28,207.04,132.99,72.89
4,E,28.16,12.86,12.35,11.24,11.04,9.39
5,F,49.75,34.28,32.35,34.39,28.38,23.86
6,G,25.4,363.26,365.86,364.13,324.47,268.49
7,H,47.19,61.79,57.66,56.53,48.55,40.1
8,I,100.0,6.89,6.49,5.44,4.07,2.36
9,J,40.97,48.35,42.63,39.35,35.09,35.09
10,L,28.54,10.07,9.86,9.19,7.35,6.87
11,M,57.33,24.72,22.51,20.71,16.95,14.27
12,N,53.95,23.52,21.46,19.45,16.16,13.85
13,P,23.25,0.0,0.58,0.27,0.23,0.24
14,Q,69.39,13.99,11.99,9.7,8.23,7.39
15,R,100.0,0.0,20.92,17.25,12.91,7.86
16,S,81.54,1.5,1.14,1.12,0.88,0.78
